match_id,team1,team2,winner,venue,date,gender,match_type,overs
1282748,Italy,Germany,Italy,"Desert Springs Cricket Ground, Almeria",2021-10-21,male,T20,20
1282749,Denmark,Jersey,Jersey,"Desert Springs Cricket Ground, Almeria",2021-10-21,male,T20,20
1282929,Argentina,Brazil,Brazil,"Reforma Athletic Club, Naucalpan",2021-10-19,female,T20,20
1282930,Canada,United States of America,United States of America,"Reforma Athletic Club, Naucalpan",2021-10-19,female,T20,20
1282935,Canada,United States of America,Canada,"Reforma Athletic Club, Naucalpan",2021-10-24,female,T20,20
1283021,Rwanda,Ghana,Ghana,Gahanga International Cricket Stadium. Rwanda,2021-10-16,male,T20,20
1283023,Seychelles,Ghana,Ghana,Gahanga International Cricket Stadium. Rwanda,2021-10-16,male,T20,20
1283024,Malawi,Uganda,Uganda,Integrated Polytechnic Regional Centre,2021-10-16,male,T20,20
1283025,Lesotho,Seychelles,Seychelles,Gahanga International Cricket Stadium. Rwanda,2021-10-17,male,T20,20
1283026,Swaziland,Malawi,Malawi,Integrated Polytechnic Regional Centre,2021-10-17,male,T20,20
1283028,Uganda,Rwanda,Uganda,Integrated Polytechnic Regional Centre,2021-10-17,male,T20,20
1283029,Malawi,Ghana,Ghana,Gahanga International Cricket Stadium. Rwanda,2021-10-19,male,T20,20
1283030,Lesotho,Uganda,Uganda,Integrated Polytechnic Regional Centre,2021-10-19,male,T20,20
1283032,Swaziland,Uganda,Uganda,Integrated Polytechnic Regional Centre,2021-10-19,male,T20,20
1283033,Malawi,Seychelles,Malawi,Gahanga International Cricket Stadium. Rwanda,2021-10-20,male,T20,20
1283034,Swaziland,Ghana,Ghana,Integrated Polytechnic Regional Centre,2021-10-20,male,T20,20
1283035,Swaziland,Seychelles,Seychelles,Gahanga International Cricket Stadium. Rwanda,2021-10-20,male,T20,20
1283036,Rwanda,Lesotho,Rwanda,Integrated Polytechnic Regional Centre,2021-10-20,male,T20,20
1283037,Uganda,Ghana,Uganda,Gahanga International Cricket Stadium. Rwanda,2021-10-21,male,T20,20
1283038,Swaziland,Rwanda,Rwanda,Gahanga International Cricket Stadium. Rwanda,2021-10-22,male,T20,20
1283040,Malawi,Rwanda,Malawi,Gahanga International Cricket Stadium. Rwanda,2021-10-22,male,T20,20
1283041,Uganda,Seychelles,Uganda,Integrated Polytechnic Regional Centre,2021-10-22,male,T20,20
1283042,Botswana,Sierra Leone,Botswana,Gahanga International Cricket Stadium. Rwanda,2021-11-02,male,T20,20
1283043,Tanzania,Mozambique,Tanzania,Gahanga International Cricket Stadium. Rwanda,2021-11-02,male,T20,20
1283044,Mozambique,Cameroon,Mozambique,Gahanga International Cricket Stadium. Rwanda,2021-11-03,male,T20,20
1283045,Sierra Leone,Tanzania,Tanzania,Gahanga International Cricket Stadium. Rwanda,2021-11-03,male,T20,20
1283046,Cameroon,Botswana,Botswana,Gahanga International Cricket Stadium. Rwanda,2021-11-05,male,T20,20
1283047,Mozambique,Sierra Leone,Sierra Leone,Gahanga International Cricket Stadium. Rwanda,2021-11-05,male,T20,20
1283048,Botswana,Mozambique,Botswana,Gahanga International Cricket Stadium. Rwanda,2021-11-06,male,T20,20
1283049,Tanzania,Cameroon,Tanzania,Gahanga International Cricket Stadium. Rwanda,2021-11-06,male,T20,20
1283050,Cameroon,Sierra Leone,Sierra Leone,Gahanga International Cricket Stadium. Rwanda,2021-11-07,male,T20,20
1283051,Tanzania,Botswana,Tanzania,Gahanga International Cricket Stadium. Rwanda,2021-11-07,male,T20,20
1283089,Nigeria,Sierra Leone,Sierra Leone,University of Lagos Cricket Oval,2021-10-19,male,T20,20
1283091,Nigeria,Sierra Leone,Nigeria,University of Lagos Cricket Oval,2021-10-21,male,T20,20
1283092,Sierra Leone,Nigeria,Nigeria,University of Lagos Cricket Oval,2021-10-23,male,T20,20
1283093,Nigeria,Sierra Leone,Nigeria,University of Lagos Cricket Oval,2021-10-24,male,T20,20
1283094,Nigeria,Sierra Leone,Nigeria,University of Lagos Cricket Oval,2021-10-26,male,T20,20
1284489,Maldives,Saudi Arabia,Saudi Arabia,"West End Park International Cricket Stadium, Doha",2021-10-23,male,T20,20
1284490,Bahrain,Kuwait,Kuwait,"West End Park International Cricket Stadium, Doha",2021-10-24,male,T20,20
1284491,Qatar,Maldives,Qatar,"West End Park International Cricket Stadium, Doha",2021-10-24,male,T20,20
1284493,Maldives,Bahrain,Bahrain,"West End Park International Cricket Stadium, Doha",2021-10-27,male,T20,20
1284495,Maldives,Kuwait,Kuwait,"West End Park International Cricket Stadium, Doha",2021-10-28,male,T20,20
