venue,avg_first_innings_score,matches_played
Pierre Werner Cricket Ground,109.05,20
Pokhara Rangasala,45.75,8
Prairie View Cricket Complex,143.85714285714286,14
Providence Stadium,105.29411764705883,34
"Providence Stadium, Guyana",106.92307692307692,26
Pukekura Park,128.0,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",139.5,14
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",203.5,2
"Punjab Cricket Association Stadium, Mohali",193.0,2
"Queen's Park Oval, Port of Spain",117.58333333333333,12
Queens Sports Club,147.25,4
"Queens Sports Club, Bulawayo",131.34782608695653,46
R Premadasa Stadium,125.26153846153846,65
"R Premadasa Stadium, Colombo",121.66666666666667,24
"R.Premadasa Stadium, Khettarama",153.6,20
"Rajiv Gandhi International Stadium, Uppal",193.5,2
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",197.5,4
Rangiri Dambulla International Stadium,120.40384615384616,52
Rawalpindi Cricket Stadium,135.3,30
"Reforma Athletic Club, Naucalpan",44.1,10
Riverside Ground,119.3,10
"Riverside Ground, Chester-le-Street",139.0,6
Roma Cricket Ground,110.15,40
"Royal Brussels Cricket Club Ground, Waterloo",135.8,20
Royal Chiangmai Golf Club,89.875,8
Royal Selangor Club,84.91666666666667,12
"Royal Selangor Club, Kuala Lumpur",81.91666666666667,12
"Ruaraka Sports Club Ground, Nairobi",130.25,12
"Sabina Park, Kingston",125.0,6
"Sabina Park, Kingston, Jamaica",162.75,16
San Albano,131.25,4
Sano International Cricket Ground,84.38571428571429,70
Sano International Cricket Ground 2,57.5,2
Santarem Cricket Ground,120.05555555555556,18
Sao Fernando Polo and Cricket Club,105.0,4
"Sao Fernando Polo and Cricket Club, Campo Sede",31.0,1
"Sardar Patel Stadium, Motera",180.5,2
Saurashtra Cricket Association Stadium,169.16666666666666,6
"Saurashtra Cricket Association Stadium, Rajkot",147.33333333333334,6
"Sawai Mansingh Stadium, Jaipur",154.0,2
Saxton Oval,135.0,8
"Saxton Oval, Nelson",149.0,9
"Scott Page Field, Vinor",107.04545454545455,66
Seddon Park,154.73529411764707,34
"Seddon Park, Hamilton",177.5,2
Seebarn Cricket Centre,76.875,8
"Seebarn Cricket Centre, Lower Austria",100.0,2
"Selangor Turf Club, Kuala Lumpur",81.02439024390245,41
Senwes Park,115.83333333333333,18
"Senwes Park, Potchefstroom",131.5,2
"Shaheed Veer Narayan Singh International Stadium, Raipur",155.0,2
Sharjah Cricket Stadium,121.9,80
Sheikh Abu Naser Stadium,154.625,8
Sheikh Zayed Stadium,123.66216216216216,74
"Sheikh Zayed Stadium, Abu Dhabi",106.22222222222223,18
Shere Bangla National Stadium,128.1081081081081,74
"Shere Bangla National Stadium, Mirpur",120.609375,64
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",124.0,2
"Sikh Union Club Ground, Nairobi",121.71875,32
"Simar Cricket Ground, Rome",116.94736842105263,38
"Simonds Stadium, South Geelong",123.0,4
Singapore National Cricket Ground,100.6103896103896,77
Sinhalese Sports Club Ground,89.75,4
"Sinhalese Sports Club Ground, Colombo",119.16666666666667,6
"Sir Vivian Richards Stadium, North Sound",112.07142857142857,14
"Sir Vivian Richards Stadium, North Sound, Antigua",107.92,50
